ref_pos_lat (deg),ref_pos_lon (deg),ref_pos_alt (m)
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
1.098099999999999987e+01,7.300100000000000477e+01,0.000000000000000000e+00
