x,y,z
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
1830761.1468202397,5988523.711442542,1206943.0265554204
